team_en,elo
Menorca,1518.66934337026
Northern Ireland,1517.524782521096
Trinidad and Tobago,1516.5009889036417
Andalusia,1515.6620244416556
Arameans Suryoye,1514.6197001236264
German DR,1514.3387190422004
North Macedonia,1513.256215363682
Shetland,1512.9745017602286
Biafra,1510.8552087377095
Madagascar,1510.5231129555284
Parishes of Jersey,1510.4484114503232
Corsica,1509.4167096580036
Elba Island,1508.6610899344578
Surrey,1508.353793006487
Western Armenia,1508.3054116346575
Nicaragua,1507.925416272138
Mapuche,1505.9101549324612
Gabon,1505.2521025888311
Donetsk PR,1504.0083248863539
Papua New Guinea,1502.6869605779493
Canary Islands,1502.548286298892
United Koreans in Japan,1502.325423219347
North Korea,1501.9549761772835
Délvidék,1501.8013257570117
Crimea,1500.7174778393153
Brittany,1500.3658987055787
Silesia,1500.1599373465306
Asturias,1500.0023469281741
Central Spain,1499.9993081272596
Manchukuo,1499.9604936445007
North Vietnam,1499.838759484361
Saarland,1499.7790999564527
Vietnam Republic,1499.433333617401
Western Australia,1499.2879086636092
Saugeais,1499.0971410818386
Uganda,1498.5543353635035
South Yemen,1498.417789924312
Felvidék,1498.3975182842887
West Papua,1498.0481577601058
Mayotte,1498.0149704076564
Republic of St. Pauli,1497.9681752829226
Niue,1497.4669843923139
Indonesia,1497.3237823958975
Franconia,1496.8529226034007
Sealand,1496.8129138969273
Cilento,1496.5789386428985
Madrid,1496.2049723856994
Palau,1495.8383138742695
Seborga,1495.600766797709
Galicia,1495.5291632727108
Iceland,1495.3225474279973
Luhansk PR,1494.2831839861567
Western Sahara,1494.2726306896259
Gozo,1494.1095472899895
Yemen DPR,1493.9641446542896
Székely Land,1493.3752173881057
Tajikistan,1492.9162582583867
Matabeleland,1491.0945535992412
Chechnya,1490.8725011796903
Lebanon,1490.4272926649655
Găgăuzia,1489.475877117514
Yoruba Nation,1488.6368166520533
Ryūkyū,1488.6189166098993
South Ossetia,1488.360946862407
Provence,1488.237398167119
Somaliland,1487.6435639968522
El Salvador,1487.5610277373255
Niger,1486.2930743088828
Saint Barthélemy,1485.087116500803
Monaco,1483.9122478190304
Wallis Islands and Futuna,1483.175874002728
Mozambique,1482.7367685597205
Orkney,1482.6122595769398
Gotland,1482.1071799528293
Greenland,1480.153992232804
Romani people,1479.6525345158786
Sápmi,1479.236498549973
Kuwait,1478.453289693441
Ambazonia,1477.9159889730624
Kabylia,1476.8401629374707
Vatican City,1476.7003069165214
Kenya,1475.955881592263
Micronesia,1474.840658526262
French Guiana,1474.4883316895741
Aymara,1473.3297869913022
Finland,1472.4638730905701
Sark,1471.0552786528237
Puerto Rico,1470.8660442124344
Hmong,1470.585532022905
Kyrgyzstan,1470.1776883771452
Togo,1469.6719301917362
Sierra Leone,1468.4912055396144
Vanuatu,1467.557691925194
Martinique,1466.4904421721399
Western Isles,1465.026166268511
Fiji,1462.282628279497
Åland Islands,1461.0899246804183
Hitra,1461.0236518889085
Zimbabwe,1460.8431410316816
Comoros,1460.575565415869
Raetia,1459.3951596191105
Cuba,1452.022124793792
Turkmenistan,1451.4357941024653
Rwanda,1450.6297978794794
Ticino,1449.5190625875296
Two Sicilies,1448.6848094451993
Malawi,1447.9503457677608
Sudan,1447.1078112468456
Belarus,1446.88507107317
Equatorial Guinea,1444.9463528536864
Saare County,1444.7429633716922
Saint Martin,1444.1624274075523
Bulgaria,1442.0286452335877
Hong Kong,1441.7885296526017
Kiribati,1438.9017303271635
Saint Vincent and the Grenadines,1435.2998355478517
Philippines,1433.4721792899995
Marshall Islands,1429.6936704601405
Saint Pierre and Miquelon,1428.2347267109221
Liberia,1426.1014363305023
Sint Maarten,1425.2245879324487
Barawa,1423.5485029560557
Mauritania,1420.1036300592323
Chagos Islands,1416.4144014281987
Tanzania,1416.2450060313888
Namibia,1412.6437088466053
Lesotho,1408.4632822786248
Yemen,1407.24825401641
Darfur,1404.347776805531
Solomon Islands,1403.4344853610482
Tibet,1402.7818383077242
Kazakhstan,1402.5208642928255
Burundi,1397.8786201317262
Ethiopia,1395.0225466861807
Singapore,1391.3498319698783
Saint Helena,1390.896357471121
Montenegro,1387.1687408814194
Samoa,1386.8132703614206
Botswana,1386.3190142376754
Belize,1378.903223564981
Central African Republic,1376.063547440634
Eritrea,1373.0930928939545
Guinea-Bissau,1372.1422192481978
Grenada,1364.9590505154326
Saint Kitts and Nevis,1364.414343708966
Bermuda,1364.3945369406724
Tuvalu,1358.4973302676287
Aruba,1357.567466080209
Falkland Islands,1357.3680094464103
Congo,1356.820677018449
India,1354.8266259549732
Afghanistan,1349.7560207916113
Eswatini,1348.032500859855
Faroe Islands,1346.4134218649506
Montserrat,1339.2353976834079
Cook Islands,1335.0307266591526
Luxembourg,1328.8392493802953
Frøya,1325.6083141831016
Azerbaijan,1320.7314783627057
Estonia,1316.7697249120163
Armenia,1316.0849089679214
Northern Mariana Islands,1315.8947591308875
South Sudan,1315.0215485366364
Bonaire,1312.1602634884234
Saint Lucia,1309.6107794912828
Dominica,1304.4563705498701
Tonga,1300.5988462477092
Alderney,1300.0446922361925
Mauritius,1293.4570168070636
Bangladesh,1286.8311977139806
Chad,1286.6204285230926
Cyprus,1270.8320819843036
São Tomé and Príncipe,1270.0114658659263
Myanmar,1266.115469805818
Latvia,1265.4109937134178
Nepal,1264.6586454811431
Barbados,1263.380012354337
Malta,1257.7475397212088
Guam,1256.3795544649324
Cayman Islands,1255.7502296397818
Lithuania,1253.4503330410253
Cambodia,1251.5799905271256
British Virgin Islands,1250.6436565277875
Antigua and Barbuda,1243.312480249546
Maldives,1242.1375999436668
Mongolia,1241.671860862271
Somalia,1240.2730855457148
Taiwan,1236.546578476973
Moldova,1234.6680963804747
Sri Lanka,1229.0020566147764
Turks and Caicos Islands,1220.699698533963
United States Virgin Islands,1211.526990676885
Pakistan,1210.8044723346925
Djibouti,1205.260092513319
American Samoa,1200.500941687288
Brunei,1185.3653712088894
Laos,1168.5946608153376
Timor-Leste,1164.8080514494336
Macau,1162.4509376636493
Bhutan,1140.7380726372908
Anguilla,1135.2581444066504
Bahamas,1134.3543853421327
Seychelles,1125.909108694254
Andorra,1108.717908437265
Gibraltar,1096.3095120451412
Liechtenstein,999.0576998302273
San Marino,970.0137397199146
